Participant ID,sex,Participant ID_y,1) - I am very good at giving directions.,2) - I have a poor memory for where I left things.,3) - I am very good at judging distances.,"4) - My ""sense of direction"" is very good.","5) - I tend to think of my environment in terms of cardinal directions (N, S, E, W).",6) - I very easily get lost in a new city.,7) - I enjoy reading maps.,8) - I have trouble understanding directions.,9) - I am very good at reading maps.,10) - I don't remember routes very well while riding as a passenger in a car.,11) - I don't enjoy giving directions.,12) - It's not important to me to know where I am.,13) - I usually let someone else do the navigational planning for long trips.,14) - I can usually remember a new route after I have traveled it only once.,"15) - I don't have a very good ""mental map"" of my environment.",average_score
130,male,130,2,2,3,2,1,4,6,7,5,5,2,7,2,1,6,3.6666666666666665
131,female,131,4,3,3,5,2,4,4,5,4,5,4,7,6,4,4,4.266666666666667
132,female,132,5,5,5,7,2,4,5,6,5,5,5,2,5,5,6,4.8
133,female,133,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2
134,male,134,7,1,5,7,7,6,7,6,6,7,6,7,7,5,7,6.066666666666666
135,male,135,7,3,7,7,3,6,2,7,7,7,7,2,6,7,7,5.666666666666667
136,male,136,6,3,6,7,1,5,4,6,6,7,4,5,5,4,6,5.0
137,female,137,6,3,5,6,2,4,3,5,5,3,5,2,6,3,2,4.0
138,male,138,6,5,4,6,3,6,6,6,5,6,3,6,6,5,6,5.266666666666667
139,female,139,6,1,4,5,5,7,5,6,5,7,5,6,7,7,7,5.533333333333333
141,male,141,5,4,5,5,2,4,3,3,5,3,4,5,3,4,4,3.933333333333333
142,male,142,6,6,1,5,1,3,2,6,5,2,6,3,2,2,6,3.733333333333333
144,female,144,6,5,5,5,1,4,4,5,5,5,4,6,5,3,6,4.6
145,male,145,6,6,6,6,7,6,7,6,7,7,7,7,6,7,7,6.533333333333333
146,female,146,3,3,6,2,1,2,1,4,5,1,4,6,2,2,3,3.0
147,female,147,4,5,3,3,2,2,5,2,4,2,1,3,1,3,3,2.8666666666666667
149,male,149,7,5,6,5,2,4,3,3,4,3,4,7,4,5,6,4.533333333333333
151,female,151,3,6,2,5,1,1,4,7,4,1,3,4,1,4,7,3.533333333333333
153,female,153,3,3,3,4,2,3,4,6,4,3,3,5,2,3,4,3.466666666666667
156,female,156,3,5,1,2,1,7,5,3,6,1,1,7,2,1,2,3.1333333333333333
157,female,157,5,3,3,5,1,5,6,5,5,1,5,7,6,2,6,4.333333333333333
158,female,158,3,6,3,4,1,3,1,5,5,2,1,7,1,2,5,3.2666666666666666
159,female,159,6,3,6,6,5,3,5,5,5,3,5,7,6,5,5,5.0
160,female,160,2,6,7,3,1,1,2,3,2,3,2,3,2,1,2,2.6666666666666665
161,female,161,6,1,5,6,7,4,5,5,6,4,5,6,3,5,6,4.933333333333334
162,female,162,5,3,5,6,5,6,4,4,3,2,4,6,6,2,5,4.4
163,female,163,5,6,6,5,1,6,5,7,5,3,5,5,4,7,5,5.0
164,female,164,5,6,2,2,1,1,1,5,2,1,2,6,5,1,3,2.8666666666666667
165,female,165,5,5,7,5,2,4,3,6,5,5,6,7,5,4,4,4.866666666666666
167,male,167,3,2,4,3,4,1,5,3,4,4,5,7,3,5,4,3.8
168,female,168,1,1,2,1,1,1,1,2,2,1,2,3,1,1,1,1.4
169,female,169,6,5,4,7,1,6,4,6,6,5,4,7,6,5,7,5.266666666666667
171,female,171,5,4,3,4,1,4,2,6,4,2,5,6,7,3,4,4.0
174,male,174,5,3,4,3,3,3,2,3,3,6,6,7,3,5,5,4.066666666666666
175,female,175,4,5,5,6,2,5,5,6,4,4,4,4,4,5,6,4.6
176,female,176,3,3,3,3,1,3,3,3,2,2,2,4,2,3,5,2.8
177,male,177,4,2,4,2,2,3,2,6,3,5,4,6,4,2,5,3.6
178,male,178,1,3,1,2,5,2,5,1,6,1,1,2,1,5,1,2.466666666666667
179,female,179,3,2,2,3,2,1,3,3,5,5,2,7,5,3,2,3.2
180,female,180,2,2,2,1,1,2,2,2,1,1,2,1,5,1,1,1.7333333333333334
181,female,181,3,3,4,5,1,2,5,3,6,3,1,5,2,6,5,3.6
182,male,182,3,4,4,4,1,2,1,6,2,2,1,7,4,3,6,3.333333333333333
184,female,184,6,4,6,6,2,6,4,6,5,6,5,6,7,6,6,5.4
186,female,186,3,3,6,3,3,4,3,5,5,2,4,6,3,3,4,3.8
187,female,187,5,6,6,5,2,2,5,7,6,7,5,7,4,2,5,4.933333333333334
188,female,188,5,3,5,5,3,3,5,5,5,5,5,6,4,5,5,4.6
189,male,189,6,7,7,7,7,6,6,7,7,6,6,7,6,6,7,6.533333333333333
190,female,190,5,6,3,4,1,3,2,6,3,5,6,2,6,2,5,3.933333333333333
191,female,191,5,3,3,5,3,5,5,5,5,3,5,6,6,6,5,4.666666666666667
193,female,193,3,3,4,3,2,2,1,3,3,6,2,5,2,6,5,3.333333333333333
194,male,194,5,5,3,5,2,3,5,5,5,2,5,6,7,5,5,4.533333333333333
195,male,195,6,6,7,7,5,3,5,5,5,2,4,7,6,6,6,5.333333333333333
196,female,196,6,3,2,6,2,6,4,6,5,6,6,7,6,5,6,5.066666666666666
197,female,197,2,3,1,2,1,1,2,3,2,1,2,2,1,1,5,1.9333333333333331
